Mouse_ID,ASP,SYP,MM,TM,,total IgG(ng/ml),IgG1(ng/ml),IgG2a(ng/ml),total IgE(ng/ml),MCPT-1(pg/ml),IL-4 (pg/ml),IL-5 (pg/ml),IL-10 (pg/ml),IL-13 (pg/ml),IFN-g (pg/ml),% eosinophils spleen,% CD8+ spleen,% CD4+ spleen,% Foxp3+ in CD4+ (Treg) spleen,% T-bet+ in CD4+Foxp3- (Th1) spleen,% Th1 poliferation spleen,% GATA-3+ in CD4+Foxp3- (Th2) spleen,% IL-13+ in CD4+ spleen,% IFN-g+ in CD4+ spleen,% IL-10+ in CD4+ spleen,% IL-10+ in non-Tcells spleen,%IFN-g+ in IL-10+ spleen,%IFN-g+IL-10+ in CD4+ spleen,%IFN-g-IL-10+ in CD4+ spleen,%Ki-67 in Foxp3+ spleen,%Ki-67 in T-bet+ spleen,%Ki-67 in GATA-3+ spleen,CD4+ proliferation (=Ki67+) spleen,CD8+ prol. (=Ki67+) spleen,CD4-CD8- proliferation (=Ki67+) spleen,% CD8+ mLN,% CD4+ mLN,% Foxp3+ in CD4+ (Treg) mLN,% T-bet+ in CD4+Foxp3- (Th1) mLN,% GATA-3+ in CD4+Foxp3- (Th2) mLN,% IL-13+ in CD4+ mLN,% IFN-g+ in CD4+ mLN,% IL-10+ in CD4+ mLN,%IFN-g+ in IL-10+ mLN,%IFN-g+IL-10+ in CD4+ mLN,%IFN-g-IL-10+ in CD4+ mLN,%Ki-67 in Foxp3+ mLN,%Ki-67 in T-bet+ mLN,%Ki-67 in GATA-3+ mLN,CD4+ prol histo mLN,CD8+ prol histo mLN,CD4-CD8- prol histo mLN
AA_0701,0,0,0,0,,213500,2322900,0,3809.5,0,,,,,,0.3,12.79,36.42,5.773,2.497,37.9,4.201,,,,,,,,23.1,46,39.1,9,7.1,17.1,16.03,52.27,7.6,2.21,4.59,,,,,,,26.2,70.9,37.8,10.6,7.9,19.2
AA_0702,0,0,0,0,,,,,,,,,,,,0.5,5.74,11.75,7.32,3.761,23.3,5.021,,,,,,,,29.6,29.6,40.2,13.8,10.4,18.2,18.4,48.86,3.95,0.87,2.8,,,,,,,21.3,31.8,46.2,7.6,7.4,9.5
AA_0703,0,0,0,0,,897000,6875700,41340,21545.5,50036.175,,,,,,2.1,11.76,24.74,11.217,8.746,9.8,3.193,2.24,20.57,10.16,0.6,34.64566929,3.52,6.64,18.3,12.7,18.3,7,3.2,7,15.83,30.53,10.7,5.28,5.42,0.49,5.26,1.86,16.66666667,0.31,1.55,10.9,17,11.6,5.7,2.5,5.6
AA_0704,0,141,0,0,,2303700,15262900,296040,18417,0,,,,,,6.6,27.3,25.65,6.928,29.733,50.9,1.862,6.81,28.99,2.74,4.1,40.87591241,1.12,1.62,25.3,58.5,22.5,21.7,31,34.7,13.94,21.55,5.53,9.01,2.2,0.7,3.48,0.38,15.78947368,0.06,0.32,20.1,48.6,13,7.9,17.4,16.5
AA_0705,0,0,0,0,,,,,,,,,,,,0.7,4.11,12.19,6.434,3.648,18.4,14.148,,,,,,,,37.9,25.3,28.8,12.3,6.6,15.9,13.09,37.83,4.52,0.99,8.24,,,,,,,30.9,36.1,35.9,8.6,3.5,11.3
AA_0706,0,0,0,0,,,,,,,,,,,,0.3,7.38,9.76,9.289,5.234,14.5,10.069,,,,,,,,22.6,19,27.9,11.6,5,13,22.08,49.71,6.58,2.17,5.74,,,,,,,16.9,61.5,29.6,6.6,4.9,7
AA_0707,0,0,0,0,,,,,,,,,,,,6.6,13.88,29.03,17.811,4.09,19.2,7.717,1.77,3.36,5.15,0.7,4.466019417,0.23,4.92,27.5,23,40.6,13.4,5.9,8.5,20.32,40.5,7.02,4.46,2.96,0.44,0.69,1.08,0,0,1.08,16.9,11.3,17.8,5.4,2.7,10.4
AA_0708,0,0,0,0,,180500,662970,43220,5489.5,23835.725,,,,,,0.7,10.64,22.18,9.269,2.32,31.8,4.941,,,,,,,,42.8,40.4,32.4,11.3,9.7,17.9,19.56,39.41,6.37,1.75,6.77,,,,,,,24,51.9,19.5,9,10.1,11.8
AA_0709,0,0,0,0,,780600,2128460,66910,21431,7374.125,,,,,,1.3,12.47,38.23,6.89,9.481,4.5,2.51,0.78,9.53,5.6,1.1,15.71428571,0.88,4.72,13.5,6.8,19.3,4.1,2.9,3.9,15.87,56.54,4.57,1.85,2.85,,,,,,,12.5,9,11.2,2.7,3.2,9
AA_0710,0,0,0,0,,410700,763990,188540,6697.5,0,,,,,,0.9,15.2,33.71,8.134,1.051,33,1.007,0.1,2.9,0.5,0.6,40,0.2,0.3,18.3,33,13,4.6,1.7,5.9,20.78,59.13,6.46,0.85,1.29,0.24,1.84,0.69,17.39130435,0.12,0.57,17,30.9,21.7,3.5,2.6,5.3
